sentence1	sentence2	gold_label
2 seriously wounded in Grand Crossing shooting Two men were seriously wounded in a shooting Thursday evening in the Grand Crossing neighborhood on the South Side. The men — ages 28 and 39 — were shot at by someone inside a vehicle that pulled up to them at 6:11 p.m. in the 7300 block of South Dante, Chicago Police said. The older man was shot in his face and taken to Northwestern Memorial Hospital in serious condition, police said. The younger man took himself to Jackson Park Hospital with a gunshot wound to his shoulder in serious condition.	no women were injured	entailment
An Oconee trial ended yesterday with guilty verdicts and a sentence that sends a Westminster man to prison for one year. The General Sessions jury found Sonny Sloan Peay guilty of resisting arrest and possession of meth first offense. Judge Sprouse ordered a one-year term for resisting arrest and sentenced the 51-year old Peay to three years suspended to five years probation for meth possession. Testifying in his own defense, Peay accused a Westminster police officer of planting the drug on his possession. VK Facebook Twitter Google+	Sonny Sloan Peay was accused of possessing one kind of drug and to give a hard time to the police offer to be arrested	entailment
Sept 26 - The rating action referenced in Fitch Ratings' Sept. 10, 2012 press release (Fitch to Upgrade L-T to 'A+' & Confirm 'F1' on IL Fin Auth Revs, 2008A (Swedish Covenant Hospital) is effective today (Sept. 26, 2012). Additional information is available at 'www.fitchratings.com'. The ratings above were solicited by, or on behalf of, the issuer, and therefore, Fitch has been compensated for the provision of the ratings. Applicable Criteria and(New York Ratings Team)	It's true that it's not true that Fitch was not compensated for providing the ratings. 	entailment
WASHINGTON, Dec 13 (Reuters) - President Donald Trump said on Wednesday he would accept a corporate tax rate of 21 percent and would sign a bill with that number. The White House has previously said it preferred a 20 percent tax rate for corporations, down from 35 percent at current levels. “If it got down to 21 ... I would be thrilled,” he said. “We haven’t set that final figure yet.” (Reporting by Jeff Mason; Editing by James Dalgleish)	The White house released a statement saying that Donald Trump would be thrilled.	entailment
Date Filed Thursday, July 20, 2017 Case Number 2017MSC227161 Hearing NAME CHANGE HEARING Sep 5, 2017 10:00 AM Filing Code CHGM Text 2017 MSC 227161—Re: Khristopher Franco-Garapic. Application for name change of minor filed. Set for hearing Sep. 5, 2017 at 10:00 a.m.	The hearing is set for several months after the filing date.	entailment
An adorably chubby tabby cat looked up when he heard his human call his name, showing a spark of interest when she bounced a ping-pong ball towards his direction for him to chase. Midway through his retrieval process however, the lazy tabby decided that he would rather play dead instead.	the chubby thing has teeth	entailment
on Thursday reported a 30.38 per cent increase in its consolidated at Rs 40.98 crore for the first quarter to June. in April-June of the previous year stood at Rs 31.43 crore, said in a filing. during the quarter under review read Rs 406.57 crore as against Rs 374.46 crore in the same quarter last fiscal, up8.57 per cent.rose to Rs 348.32 crore during the period, from Rs 328.34 crore in the year-ago period.The was trading 3.02 per cent up at Rs 184.05 on the	A 30.38% increase was reported on a weekday.	entailment
New York, NY – For the third straight year, Latino Sports photographer Jeremías Pérez Artiga covered this weekend’s Professional Bull Riders annual New York event, Monster Energy Buck Off at the Garden. An avid bull riding fan, Jeremías had the opportunity to be close to the action as well as observe what happens behind the scenes. With that said enjoy the photos from Madison Square Garden!	Jeremiah had great seats for the rodeo.	entailment
Fannin County Family Connection, in a partnership with the mobile Mary Ellen Locher Breast Center, will offer mobile screenings at ... PLEASE LOG IN FOR PREMIUM CONTENT Our website requires visitors to log in to view the best local news. Not yet a subscriber? Subscribe today	This text does not mention where exactly the mobile screenings will be.	entailment
Public safety responders pulled a swimmer from Lake Keowee this afternoon and started CPR before the woman was sent to the hospital. There’s no confirmed word on her condition. A responder told 101.7/WGOG NEWS the location was about four feet of water near the Keowee Sailing Club on SC 130 near Seneca. VK Facebook Twitter Google+	This afternoon there were several people near Lake Keowee	entailment
EAST LANSING, Mich. — Michigan State coach Mark Dantonio says punter Jake Hartbarger's leg injury from last month is likely to end his season. Hartbarger hurt his lower leg Sept. 8 at Arizona State. Shortly after that, Dantonio said the fifth-year senior would be out six to eight weeks, but on Tuesday, he said Hartbarger was unlikely to return in 2018. The plan for now is for Hartbarger to get a medical redshirt and play again next year. The Spartans are also expected to be without guard David Beedle for a month. He was hurt early in last weekend's loss to Northwestern.	Jake Hartbarger will miss more games than David Beedle due to injury.	entailment
A Mason City man has been given 10 years in prison for injuring his infant daughter. Court records say 28-year-old Jeremy Rose was sentenced Monday. He'd been found guilty of child endangerment resulting in serious injury. Rose was arrested after officers and medics were called the night of June 22 last year to help the baby, who was having difficulty breathing. Prosecutors say he'd violently shaken the tiny girl.	Most would consider JR a poor parent.	entailment
Miller (undisclosed) missed morning skate and won't be fit to play against the Kings on Tuesday, Danny Webster of NHL.com reports. Miller is key puck-moving blueliner for Vegas with two goals and 15 helpers through 36 games, so the hope is that he won't be out much longer. Meanwhile, Brad Hunt -- who notched an assist in Sunday's 5-1 win over the Coyotes -- figures to see additional ice time in Miller's stead.	Miller does not play for the Kings.	entailment
Gordon went 3-for-6 with a run scored and an RBI in Monday's win over the Phillies. His third hit was the most important, as he laced a bases-loaded line drive into right field in the 10th inning for a walkoff single. It's Gordon's first multi-hit performance since the All-Star break, but he still sports an impressive .340/.375/.396 slash line over his last 12 games with three steals and 13 runs.	Gordon negatively affected the pitcher's stats with his performance	entailment
July 21-22 Warm-up match, Colombo (opponents & venue TBC) 26-30 1st Test, Galle (05:30 BST) August 3-7 2nd Test, Colombo (SSC) (05:30 BST) 12-16 3rd Test, Pallekele (05:30 BST) 20 1st ODI, Dambulla (d/n) (10:00 BST) 24 2nd ODI, Pallekele (d/n) (10:00 BST) 27 3rd ODI, Pallekele (d/n) (10:00 BST) 31 4th ODI, Colombo (RPS) (d/n) (10:00 BST) September 3 5th ODI, Colombo (RPS) (d/n) (10:00 BST) 6 Twenty20 international, Colombo (RPS) (d/n) (14:30 BST) NB Fixtures and start times are subject to change. The BBC is not responsible for any changes that may be made	The programming might be changed	entailment
"Hannah Foslien/Getty Images Green Bay Packers quarterback Aaron Rodgers has revealed that he had 13 screws inserted into his injured collarbone to help it repair. The 33-year-old broke the news during the ""Clueless Gamer"" segment on Conan O'Brien's late-night show. Rodgers suffered the broken right clavicle during the team's Week 6 loss to the Minnesota Vikings. This article will be updated to provide more information on this story as it becomes available. Get the best sports content from the web and social in the new B/R app. Get the app and get the game."	Aaron Rodgers does not play for Minnesota.	entailment
3/9 Motel, Australia's newest wild child of style Already causing a commotion all over its UK homeland, Europe, the US, Japan and Australia, this cult brand has instantly become the must-have brand for fashionistas, musicians and celebrities alike. Georgia Knight	 3/9 Motel,is causing commotion all over Japan	entailment
"""Marsh that we can maintain, that's gonna reduce storm surges,"" Trosclair said. ""If the shoreline continues to retreat inland other areas further north may north may not be enough for people to evacuate. So it's really important that we can maintain what we have"""	Trosclair has a r	entailment
MILTON, Ont. – Police say a 32-year-old man has been charged with mischief and arson after allegedly trying to set a hair salon on fire in Milton, Ont. Halton Regional Police allege the suspect smashed the front window of the business on Saturday evening. The man allegedly tried to use an accelerant to help set the salon ablaze, but police say he was unsuccessful and the fire burned out. Police say the man faces two counts of mischief under $5000 and one count of arson. They say the man was held for a bail hearing.	The man allegedly tried to use an accelerant to help set the salon ablaze, but police say he failed and the fire burned only for a few seconds. 	entailment
"East Timor President Francisco ""Lu Olo"" Guterres swore in the remaining members of the new cabinet on Tuesday and urged the first minority government since independence to focus on improving living conditions and avoiding political upheaval. FILE PICTURE: East Timor's presidential candidate Francisco ""Lu Olo"" Guterres shows his inked finger after casting his ballot during the second round of presidential election Dili, East Timor April 16, 2012. ..."	Guterres cast a ballot for himself.	neutral
"In an adorable Instagram post, the soon-to-be dad revealed the due date! ""Little James' due date: May 13th, Mother's Day,"" he wrote. And the cuteness continued! ""One day before Amber's actual birthday. She was born on Mother's Day 1990. The stars really aligned on this one."" As fans may know, Amber announced her pregnancy in November with an adorable Instagram photo. Amber has one daughter, Leah, with her ex-fiance, Gary Shirley."	Dads know how to use Instagram.	neutral
Hudson County saw 25 people lose their lives last year in homicides. Still one of the lowest amounts in years. A building owned and managed by the Jersey City Housing Authority has been experiencing heat problems amid a cold weather snap. In Sports, St. Benedict's stuns top Hudson Catholic in boys basketball.	The homicide rate is lower than 10 years ago.	neutral
A California judge on Monday reduced by more than $200 million a jury verdict linking Bayer AG's Roundup weedkiller to cancer but upheld the jury's findings that the company acted with malice. San Francisco Superior Court Judge Suzanne Ramos Bolanos said the $250 million in punitive damages awarded by the jury must be slimmed down to match the $39.25 million in compensatory damages that the jury found appropriate. If the plaintiff agrees to the reduction by Dec. 7, no new trial is needed. ...	There will be a trial.	neutral
At least that's the verdict of Robinho, who's revealed Sky Blues owner Sheikh Mansour talked up signing the Argentine when he arrived at the Etihad. Messi has established a reputation as one of the world's best ever players as he's written his name into Barcelona's history books. In recent years a potential move away from the Nou Camp has been mooted though, with City seen as his most likely destination if he does leave Spain. Robinho has now revealed City had already set their sights on getting Messi on-board almost a decade ago.	City is where Messi will go if he leaves Spain.	neutral
CORVALLIS, Ore. (AP) — The body of a 66-year-old Brownsville woman was found more than a week after her pickup truck went into the Willamette River near Corvallis. The Benton County Sheriff’s Office confirmed Suzanne Durheim’s body was recovered Tuesday afternoon about a mile downstream from where the truck was located. Durheim disappeared on her way to work in Corvallis Jan. 7. Investigators believe she veered off the road because of icy conditions that morning. Search crews and dive teams searched for her throughout the week.	The Benton County Sheriff's Office believes Suzanne Durheim's pickup truck veered off the road on her way to work from Brownsville. 	neutral
We note with regret the death of Mr. George Edward Taylor, age 73 of McEwen, who will have visitation today from 10 until service time at 2 at the Luff-Bowen Funeral Home in McEwen. Reverend David Deavers will officiate the services. Burial will follow in the McEwen Cemetery.	George Taylor died 10 days after his 73rd birthday.	neutral
(CBS) — Voters headed to the polls Tuesday night in Connecticut, Vermont, Minnesota and Wisconsin, as the 2018 calendar barrels ahead toward November. The most closely watched races will be in Minnesota and Wisconsin, where there are competitive House and gubernatorial races. Polls in Tuesday night’s races begin closing at 7 p.m., and the final polls close at 9 p.m. Eastern.	polls will open in new york on friday	neutral
NEW BEDFORD, Mass. (AP) — A fatal shooting is under investigation in New Bedford. The Bristol District Attorney's office says police responding to a 911 call early Sunday morning found 23-year-old Reynaldo Pena lying on Shawmut Street with gunshot wounds. He was taken to a nearby hospital and later transferred to Rhode Island Hospital, but was pronounced dead shortly before 4 a.m. No arrests were immediately reported and authorities released no other details about the case.	police have talked to arnold	neutral
Bogdanovic exited Thursday's preseason game against the Clippers early with a right ankle sprain, Jason Jones of The Sacramento Bee reports. Bogdanovic slammed into Kosta Koufos will attempting to defend a three-pointer and came down awkwardly on his ankle. He had to be helped off the court by the team trainer and was subsequently ruled out for the remainder of the exhibition. Bogdanovic will almost certainly sit out Friday's preseason tilt against the Warriors and his availability for the regular season opener on Wednesday could also be in doubt depending on the severity of the sprain.	Bogdanovic will never play his sport again.	neutral
MOGADISHU (Reuters) – The death toll from two bomb attacks that tore through busy junctions in the heart of Somalia’s capital Mogadishu has risen to 85, making it one of the deadliest attacks in the country since Islamist militants launched an insurgency in 2007. Read Full Story	There has been activity from Islamic militants in the region for decades. 	neutral
Akito Marquies Hutcherson A Henry County man faces multiple drug charges, following the execution of a search warrant. According to Capt. Randall McGowan of the Weakley County Sheriff's Department, 33-year-old Akito Marquies Hutcherson of 303 Jenkins Street in Paris is charged with possession of Schedule 2 with intent to resale, possession of schedule 6 with intent to resale and possession of drug paraphernalia. (See compete story in Aug. 16th issue of the Dresden Enterprise.)	Akito Hutcherson was born a man. 	neutral
"French police are warning people to stay away from the main train station in Marseille after reports of a knife attack Sunday. Marseille police say an operation is ""under way"". French television is reporting that at least one person has been stabbed and the attacker shot and killed. The Saint Charles train station has been evacuated. ""Copyright 2017 Associated Press. All Rights Reserved"""	The victim died.	neutral
Reported by Lauren Neidigh. MEN'S 200 FLY: Georgia's Pace Clark set the pace ahead of teammate Chase Kalisz through the front half, but Kalisz made his move on the 3rd 50. The 2 swimmers were in a dead heat down the stretch, but Kalisz was able to get his hand to the wall faster at the finish, winning in 1:56.60 to Clark's 1:56.75. Texas' Jack Conger used his back half speed to run down Cal's Mike Thomas (1:58.54), catching him on the last 50 and taking bronze with his 1:58.45.	Pace Clark is a faster swimmer than Chase Kalisz in the 200 free.	neutral
Tokyo - Food group Nestle is seeking to lure Japanese holiday shoppers with a taste for fine snacking with a gold-wrapped Kit Kat chocolate bar. The single finger Kit Kat is wrapped in a thin layer of gold leaf. Only 500 of the bars go on sale from Dec. 29 with a price tag of around 2,016 yen ($16). The Kit Kat chocolate bar made its debut in Japan in 1973 and since then a variety of flavors -- from green tea to wasabi -- have been produced.	2,016 yen works out to eight British pounds.	neutral
"THOMASBORO — Peace Lutheran Church will hold vacation Bible school for children ages 4-12. The VBS will be held from 6-8 p.m. July 17-21. The theme is ""Barnyard Roundup — Jesus Gathers Us Together."" Preregistration is available on Facebook at Peace Lutheran Church-Thomasboro or the day of registration at church."	facebook holds a school about bible	neutral
“I feel like over the last 10 days we've kind of gotten our team whole again and back. And that's comforting,” Boone said. “That's comforting going into this game and into the postseason. And like I said, I feel like with the group we have in there, look, anything can happen obviously, but I feel like we can play and beat anyone. And I think our guys know that. I think at the core they know that and believe that and hopefully that serves us well going into tonight.”	The team has recovered from past injuries.	neutral
Thinking Green: Mold The kind of green you don't want. It’s not just green, mold. It comes in a wide array of colors, each one more alarming than the last — green, pink, and maybe the most disturbing of all, black. And mold can sometimes creep in where you least expect or want it to, all around the home To keep your surroundings fresh and green — as in environmentally sound — check out this week’s Thinking Green with Danny Lipford.	Thinking Green is animated	neutral
CHICO — The California Teachers Association and local chapters of CTA will present a free showing of the educational documentary “Race to Nowhere” at 6 p.m. May 16 at the El Rey Theater, 230 W. Second St. The film has been featured on national news programs and talk shows. For a brief description of the film and to get tickets, visit rtnelreytheater.eventbrite.com.	Other groups have an acronym of CTA.	neutral
"It suits her to a T, said actress Blake Lively, defending her choice of a suit to promote her latest movie, A Simple Favour, at its British premiere in London on Monday. Responding to snide comments over her fashion picks, she wrote on Instagram: ""Would you note a man wearing lots of suits during a promo tour? So why can't a woman? No double standards."""	Men wear dresses to movie premieres.	neutral
Calendar » Garden Preschool Community Open House August 25, 2012 from 10:00 AM - 2:00 PM SBCEO Garden Preschool is a private, non-profit, quality preschool/pre-K program in the downtown Santa Barbara area. Come for a visit, tour the school and play yard and meet the teachers. Come see what we have to offer.	Garden Preschool Community Open House had no one attend.	neutral
Lorne Street at Leith Walk has reopened following reports of a small fire at a local business. DOWNLOAD THE EDINBURGH EVENING NEWS APP ON ITUNES OR GOOGLE PLAY According to reports on social media, a small fire broke out at Boda Bar in the early hours of this morning. Fire services attended the scene following the report with some delays as a result of the incident. More to follow.	Boda Bar reported the incident on their social media 	neutral
"Video Frances and Patrick Connolly say they are 'overwhelmed' with their £115 win. ""This is a massive sum of money and we want it to have a huge impact on the lives of other people we know and love as well as on our future too."" Frances said the most important thing they have done since their win is make a list of people they want to give the money to. ""It's going to be so much fun giving it away,"" she said. ""The pleasure for me is going to be seeing people's faces."""	Money should be put in a bank.	neutral
A trio of jokes: -It's hard to say which of you is more wooden. -Why are you at Disneyland and Senator Warren is in DC? She's the one who still has a job. -One of the people in this photo is a dinosauric relic of American racism, best forgotten. The other is a cigar store statue.	Senator Warren does not go to Disneyland.	neutral
MEXICO CITY, Oct 29 - Mexico's central bank on Thursday said it sold $200 million of $200 million offered in an auction after the peso weakened sharply from its fix rate in the previous session. The central bank sold the dollars at an average weighted price of 16.6276 pesos per dollar. An auction is triggerd when the currency is trading 1 percent weaker than its fix rate in the previous session. The peso slumped from the fix rate seen on Wednesday after the U.S. Federal Reserve suggested it could raise interest rates at its next meeting in December. (Reporting by Michael O'Boyle)	This occurred in 2018, not 2019.	neutral
Gareth Bale's future at Real Madrid is up in the air after a difficult, injury-hit campaign that has seen him score just nine times. Manchester United are said to be interested in bringing him to Old Trafford, four years after David Moyes failed to sign him from Tottenham. However, Bale is also supposedly open to joining Chelsea given the financial muscle the Londoners possess.	Gareth Bale made millions	neutral
Tasmanians are being warned not to become complacent in milder conditions as bushfires continue to burn across the state. The Bureau of Meteorology warned that Wednesday would be the hottest day for the week before possible rainfall and thunderstorms, as a cooler change moves through. Firefighters have warned its only days before a total fire ban could be reinforced - as they turn their efforts to protecting communities in the state's south. Some residents of lower Judbury in the Huon Valley have been told to get ready to leave because of concerns about the Riveaux Road bushfire.	Tasmanians are warned  to not be complacent as  bushfires continue across the state. within a day a total fire ban will be reinforced	contradiction
"This weekend, SoulCycle will host ""Hurricane Maria Relief Rides"" at a selection of studios across the United States. 100 percent of proceeds from the indoor cycling classes will be donated to the Puerto Rico Real-Time Recovery Fund. The SoulCycle Ardmore location in the Philly suburbs is participating. On Saturday, Oct. 14, work out with Nikola at 12:45 p.m. to help aid those affected by the devastating hurricane. Individual classes are $30. If you want to participate, make sure to reserve a bike."	Individual classes are more than $30.01.	contradiction
"During an interview with ET on Tuesday, Kris Jenner gushed about her daughter being in such a great place in her life. ""We love Tristan so much, and she's so happy, and she's been through so much,"" Jenner said. ""Just seeing her be able to do something so creative with [her denim line] Good American -- that's her passion. On top of it, to be in such a great place in her personal life is amazing. She's really happy."" See more in the video below."	Kris Jenner said during an interview that Tristan is getting married.	contradiction
American Airlines has agreed to pay $45 million to settle a lawsuit that says it and other major U.S. airlines colluded to drive up the price of airfares. In settling the case, American denied any wrongdoing. The company, in a statement, said fighting the case in court would be costly. Earlier this year, Southwest Airlines also reached a settlement in the case, agreeing to pay $15 million. Southwest also denied any wrongdoing. The lawsuit alleges that major U.S. airlines colluded to limit capacity in order to increase ticket prices.	American and Southwest settled with a total of $80 million	contradiction
CAIRO â€” Egypt's Interior Ministry says a man was killed and three members of his family were injured when a device exploded while he was cleaning up his backyard in a leafy Cairo suburb. The police didn't elaborate on whether the device is a bomb and they could not specify what exactly triggered the blast on Friday. The ministry says the blast occurred in the southern residential suburb of Maadi that is also home to many diplomatic residences in the Egyptian capital. The statement added that security forces have cordoned off the area. No further details were immediately available.	The blast was triggered on the seventh day of the week.	contradiction
Former Malaysian Prime Minister Najib Razak gestures during his speech at United Malays National Organization (UMNO) building in Pekan, Malaysia, Sunday, May 20, 2018. Former Malaysian Prime Minister Najib Razak says he is aggrieved with his coalition's shocking election defeat because it was due to a vicious personal attack against him. Sadiq Asyraf AP Photo	The vicious attack was against Najib Razak's challenger.	contradiction
Marty Sklar, legendary Imagineer and designer of Disney parks, died Thursday at his home in Hollywood Hills, California. Sklar started with Disney in 1955 and helped Walt market Disney World and Epcot Center. He went on to become the Mouse House’s top Imagineer and supervised the design of its parks in Paris, Tokyo and Shanghai. Sklar was 83.	sklar worked with matt to market disney world.	contradiction
Ruling party pays respect to its fallen by cleaning gravesites Provincial ANC secretary Lulama Ngcukaitobi says with all the problems facing the country, leaders need to know they are not the first and not the last. He was speaking at a Thuma Mina campaign, in Mthatha on Saturday. Ngcukaitobi said the youth must be connected with the spirit of the old generation of leaders. Please enable JavaScript to view the comments powered by Disqus.	Lulama Ngcukaitobi has a qq	contradiction
Oct 08 (Reuters) - Perpetual Corporate Trust Limited & Impetus Funding Trust No. 1 Repo Series No. 1 * Moody’s assigns following definitive long-term rating to notes issued by Perpetual Corporate Trust Limited in its capacity as trustee of the Impetus Funding Trust No. 1 Repo Series No. 1 (Trust). The complete rating action is as follows: -- AUD 138.9 million of Class A Notes, rated Aaa (sf) The AUD 11.2 million Class B Notes are not rated.	"The complete rating action is as follows: -- AUD 138.9 + 2 million of Class A Notes, rated Aaa (sf) The AUD 11.2 million Class B Notes are not rated.
"	contradiction
Alabama's Tua Tagovailoa throwing a week after breaking finger The Alabama quarterback battle had to be put on pause for a bit after sophomore Tua Tagovailoa suffered an injury to a finger on his throwing hand. But he was back on the field and throwing again on Tuesday, one week after his injury. Tagovailoa’s father, Galu, told KHON-TV in Honolulu on Thursday that the injury was a broken index finger. Alabama coach Nick Saban told reporters including AL.com’s Matt Zenitz on Tuesday that he’s pleased with the progress that Tagovailoa has made since suffering the injury.	Alabama's Tua Tagovailoa throwing a day after breaking finger 	contradiction
None Chicago Bears punter Adam Podlesh (8) takes a snap before punting the ball in the first half of an NFL football game against the St. Louis Rams in Chicago, on Sunday, Sept. 23, 2012. Podlesh was a standout player at Pittsford before going on to punt for the University of Maryland and in the NFL. Charles Rex Arbogast/AP	Podlesh sat the bench most of the time while on college.	contradiction
In a July 10, 2015 photo, pallbearers prepare to remove Patrick Mahany's casket from a Flight for Life ambulance following a brief processional at the memorial service. Mahany was killed in a 2015 helicopter crash in Frisco, Colo. which also critically injured flight nurse David Repsher. Repsher's lawyers said Thursday, Feb. 1, 2018, that the helicopter's manufacturer and operator have agreed to pay Repsher a $100 million settlement. Summit Daily News via AP Ben Trollinger	After 2014, Mahany would never use a helicopter again	contradiction
It was not a pretty picture. RELATED CONTENT Stranded On A Unicorn In Minnesota? Yes, Please Corey’s Diary 8/10/18: Jeff Thinks Its His Show Take 2 Chipotle’s New Menu Item Is A Bacon Lover’s Dream Corey’s Diary 8/9/18: I Am On The Fence Corey’s Diary 8/8/18: I Am Taking It To The Next Level Corey’s Diary 8/7/18: There is Light At The End Of The Spa Tunnel	Corey's Diary on 08/18/19: I Am Taking It To My Mother.	contradiction
Nabil Al Afif, Under-Secretary of Dhale Governorate, praised the ERC's efforts to help Dhale and other liberated Yemeni governorates. He added that providing the relief aid and shelter materials is a generous gesture by the UAE people and the sons of Zayed while praising the role of the UAE, led by President His Highness Sheikh Khalifa bin Zayed Al Nahyan, and its humanitarian arm, the ERC. Dhale saw the implementation of many projects by the ERC and signed, in 2018, an agreement on the launch of other projects, he said in conclusion.	Afif praised the humanitarian arm of the ERC.	contradiction
"WASHINGTON _ The winning numbers in Tuesday afternoon's drawing of the Dist. of Columbia Lottery's ""DC 5 Midday"" game were: 7-4-8-8-9 (seven, four, eight, eight, nine) Copyright 2018 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed."	The sum of the winning numbers is 100	contradiction
· Most portable personal vehicle with world's first 3D Posture Control System · 9.3mph Top speed and ~12.4 miles range · 8.3 lbs to carry it anywhere. · This is a customized electrical skateboard. For specific date of shipment, please refer to the shipping information below.	The skateboard cannot travel at speeds below 9.3 miles per hour.	contradiction
Ndubuisi Orji, Abuja The House of Representatives has directed the Inspector General of Police, Ibrahim Idris, to prosecute the Special Adviser and Chairman of the Special Presidential Investigation Panel (SPIP), Chief Okoi Obono-Obla, for forgery and misrepresentation. This is sequel to the adoption of the report of the House Ad-hoc Committee that investigated the legality and modus operandi of the SPIP, at Thursday’s plenary. READ ALSO: APC planning to rig 2019 general elections- Ex Niger governor, Aliyu alleges	The report of the House Ad-hoc Committee was adopted on the day that comes immediately after Tuesday.	contradiction
SYDNEY James Hardie Industries Plc (JHX.N), the world's biggest fiber cement products maker, said on Thursday it expects the U.S. housing construction market to improve as it posted a 15 percent jump in fourth quarter sales. Sales were $376.4 million for the three months to March 31, compared to $326.8 million for the same period the previous year. The company's net operating loss for the quarter grew to $186.8 million from $69.5 million a year earlier because of an increase in asbestos adjustments. (Reporting By Byron Kaye; Editing by Diane Craft)	Sales of $376.4 million included April sales.	contradiction
Spurs forward Kawhi Leonard is the total package and can beat teams so many different ways. He’s a gritty defender, can drain a stepback jumper with ease and can also drive the lane. Victor Oladipo was tasked with defending him in Tuesday night’s game, which isn’t a very fun assignment. Leonard made him look silly on one particular play, with a nasty crossover to shake the Thunder guard. He then finished off the play by going up and under and flipping the ball up and in on a reverse layup, after being fouled. Leonard vs Oladipo is a bit of a mismatch, and Kawhi exploited it on that play.	There were four different ways mentioned that Kawhi Leonard could beat other teams.	contradiction
