sentence1	sentence2	gold_label
We note with regret the death of Mr. George Edward Taylor, age 73 of McEwen, who will have visitation today from 10 until service time at 2 at the Luff-Bowen Funeral Home in McEwen. Reverend David Deavers will officiate the services. Burial will follow in the McEwen Cemetery.	Burial usually follows a visitation.	entailment
FRANKFURT, Aug 16 (Reuters) - German tour operator TUI Germany said it was cancelling all holidays to Egypt until September 15 after the German foreign ministry advised against travel to Red Sea resorts. TUI Germany, part of Europe’s largest tour operator TUI Travel , said tourists already in the resorts could continue their holiday, or ask their holiday representative if they wished to leave early. The operator said it had 6,000 guests in the Red Sea resorts at the moment, adding the situation there remained peaceful.	The Red Sea borders Egypt.	entailment
McGee (lower body) has been cleared for Friday's tilt with the Grizzlies. McGee will play through a glute contusion Friday night, but the injury will definitely be something to keep an eye on. He may see his minutes monitored more closely, in which case expect Damian Jones to see increased action.	The glute is the injured part of him	entailment
Third WI-SA T20 abandoned KINGSTON: South Africa’s chances of making a comeback in the T20I series against Windies Women were dealt a severe blow when the third game of the series was abandoned without a ball being bowled. Torrential rain few hours before the game in Trinidad forced a delay to the start, but after the umpires conducted multiple inspections of the outfield post that, it was finally decided to call it off with the outfield remaining soggy. Windies Women now lead the series 2-0 after having won the first two games.	According to them chances are bleak for the team	entailment
LONDON, Dec 3 (Reuters) - The Paragon Group of Companies PLC : * Paragon grp of co’s - response to press speculation * Notes the recent press speculation * Paragon - confirms that it is in the early stages of considering the acquisition of Hampshire trust plc, * No certainty that a transaction will be concluded	the press can be very speculative.	entailment
MINEOLA – An investigation is underway into a fatal fire in Mineola. Fire Marshall David Madsen said it was reported around 11:00 Monday night at the Mineola Motor Lodge on West Broad Street. Initial reports are a Hispanic male was killed and his body has been sent to a Tyler lab for autopsy. His identity has not been released at this time. The cause of the fire has not yet been determined.	The Mineola Motor Lodge saw a tradgedy 	entailment
A 36 year old man is appearing in court this evening charged with an alleged hit and run incident in west Dublin yesterday that left two men injured, one critically. Paul Connolly from Cregg Court, Roberstown Co. Kildare faces three charges, including one of failing to keep a vehicle at the scene of an accident. The incident happened yesterday morning near Coolmine train station. He's also been charged with two counts of dangerous driving causing serious bodily harm.	the man moved the vehicle away from the accident 	entailment
"According to police, three of the accused work for Prime Focus Technologies, a Mumbai-based company that processes the series for Indian streaming website Hotstar. The fourth is a former employee. The leaking of the episode on August 4, titled ""The Spoils of War,"" was separate from a recent hack on HBO. That hack included the theft of proprietary information, such as programming."	Hotstar was leaked by four people.	entailment
Insider The 2016 recruiting class was one of the most hyped classes in recent memory. After a run of five consecutive No. 1 classes, Alabama was unseated in 2016 by Florida State. The Seminoles' class was led by No. 5 overall recruit Levonta Taylor, one of nine players who earned five-star ratings from ESPN that year. Three years later, the class has by and large lived up to expectations and also produced some breakout stars. We examined how different the class would look if we reranked players based on their college production. Here are the top 25 players knowing what we know now.	Other classes besides Alabama were very highly hyped.	entailment
"HOUSTON Nov 18 The Federal Reserve's newest policymaker, Rob Kaplan, on Wednesday declined to say whether he will support an interest rate rise in December. ""If and when"" the Fed does raise rates, it will do so very gradually, he said. (Reporting by Ann Saphir; Editing by Chizu Nomiyama)"	Ann Saphir was reporting from Houston	entailment
YEREVAN, FEBRUARY 23, ARMENPRESS. The Norwegian Olympic team continues leading the medal count at PyeongChang 2018 with 13 gold, 12 silver and 10 bronze medals. Just two days ahead of the closing ceremony, the German team comes next with 13 gold, 7 silver and 5 bronze medals. Canada concludes the top three with 10 gold, 8 silver and 9 bronze medals. The closing ceremony of the 23rd Winter Olympic Games will take place February 25. English –translator/editor: Stepan Kocharyan	Canada won nine bronze medals and eight silver medals.	entailment
On Thursday, February 11, Ed Roberson will read at the University of Chicago. Roberson is the recipient of the 2015 Ron Offen prize and the subject of a special section in the upcoming issue of CR. He will read from his ten books of poetry and present unpublished work. Event co-sponsored by the Ron Offen Poetry Prize Fund and the Program in Poetry & Poetics Thursday, February 11, 6 PM Logan Center for the Arts Seminar Terrace, Room 801 University of Chicago 915 E. 60th St. Free admission	robert was in a northern state in the second month of the year	entailment
In this May 11, 2018 photo, street vendors selling beef bones wait for customers, in Caracas, Venezuela. The May 20 presidential election plays out as the inflation rate doubles every 35 days and is running near 14,000 percent on an annual basis, according to estimates by the opposition-controlled National Assembly. Fernando Llano AP Photo	The inflation rate doubles every five weeks. 	entailment
Shares AMSTERDAM, Netherlands, Oct 11 – The Netherlands failed to reach the 2018 World Cup finals as they could only beat Sweden 2-0 on Tuesday when they needed an unlikely 7-0 victory. Elimination is fresh humiliation for the nation that reached the 2010 World Cup final and the semi-finals four years later, after they also missed out on Euro 2016 qualification.	they couldn't qualify for the game	entailment
"Zion Williamson on he and RJ Barrett: ""If we are both on, I feel bad for the other team."" By January 28, 2019 10:39 PM Duke Blue Devils star Zion Wiliamson said if he and his fellow freshman star, RJ Barrett, are both on their games on the same night opposing teams have little chance to beat the Blue Devils. They led Duke past Notre Dame on Monday, Jan. 28, 2019."	Duke players are confident in their ability to win.	entailment
ORLANDO, Florida (41NBC/WMGT) – It’s Day 2 of Bill Shanks’ reports from the Braves spring training facility in Florida. Today, Bill focuses on Atlanta’s pitching. They’ve got several veteran starters ready to take the mound in the likes of R.A. Dickey, Bartolo Colon, and Jaime Garcia. Those additions will hopefully bridge the gap until younger players down on the farm are ready for Big League action. Plus, Bill goes into detail on a few arms in the bullpen worth keeping an eye on.	Bill considers future pitchers as well	entailment
Joe Knox was hospitalized, recovered, and still surfs in Imperial Beach. Like most, he takes precautions before entering the water. He'll check the county's water quality and the Tijuana River's flow online. He's also learned to read the ocean for signs of pollution such as discoloration on the water's surface, the consistency and color of the sea foam, and strange odors in the ocean breeze.	Joe Knox will notice the color of the sea foam before he surfs.	entailment
The Homeland Park Fire Department says the vehicle of a volunteer firefighter was vandalized on Saturday morning. In a Facebook post, the fire department said the windows of the vehicle were shot while the volunteer firefighter was asleep inside the station. The fire department is asking that anyone with information regarding the incident contact them or the Anderson County Sheriff's Office. Read the department's full post about the incident: MORE NEWS: Woman battling cancer gets married hours before passing away Copyright 2017 FOX Carolina (Meredith Corporation). All rights reserved.	A volunteer firefighters car was vandalized and his windows were shot, but he was safe because he was not in the vehicle.	entailment
Posted Today, 07:49 PM These Samsung MicroSD memory cards reached a new historical low this week 128gb for $19.99 64gb for $10.99 256gb for $44.99 These memory cards are ideal for expanding your storage space in the Nintendo Switch, Samsung phones, or Samsung tablets. I know that I bought a pair of 64gb cards for $19.99 apiece at this time last year which was a good deal at the time. This is a great opportunity to get your 128gb or 256gb card to store games.	The economic choices for memory expansion for Nintendo Switch gamers is even better this year. 	entailment
Only one day — today — will mild air filter back in the area and push temperatures above normal. Daytime highs should peak close to 70 degrees, the National Weather Service says, but light showers will accompany this warm front. Winds will also likely guest 20 to 25 mph for many areas later this morning into this afternoon.	National Weather Service has a n	entailment
ALMATY, Feb 4 (Reuters) - Kazakh President Nursultan Nazarbayev told the national wealth fund on Monday to sell state-owned stakes in local bank BTA, Alliance Bank and Temirbank by the end of this year, the presidential news service said. “We will brisk up this process,” Yelena Bakhmutova, deputy head of Samruk-Kazyna fund, told Reuters. “No one had said publicly before that we are ready to sell (the stakes) ... Now this order has been made,” she said. “We are ready to talk to potential investors.” (Reporting by Mariya Gordeyeva; writing by Dmitry Solovyov; editing by Keiron Henderson)	investors will be spoken to following the announcement	entailment
"In Brussels, May offers ""fair deal"" for EU nationals in Britain BRUSSELS, June 22 Prime Minister Theresa May set out what she called a ""fair deal"" for EU citizens living in Britain on Thursday, saying in her first test of negotiating strength that she did not want anyone to have to leave because of Brexit or to split up families."	May wants to keep whole families in Britain, even if one parent is not British post-Brexit.	entailment
MALAKOFF, TEXAS—An East Texas man and woman have been arrested after a 70-year-old woman said they kept her in a dog kennel, beat and kicked her, withheld food and water, and forced her to walk on broken glass. Tyler television station KLTV reports 47-year-old Leonnia Darlene Anderson Castillo of Log Cabin is charged with first-degree felony injury to the elderly and being held at the Henderson County Jail in Athens on a $50,000 bond. A jail booking officer declined to say if she had an attorney.	Castillo is less than four dozen years old.	entailment
"UN official condemns attacks on civilians, calls for unhindered relief access February 7, 2017 As fresh violence flared up in the Ouham – Pende province of the Central African Republic, a United Nations humanitarian official has urged to protect civilians and provide them with unobstructed relief access. ""I urge all parties to the conflict to respect international humanitarian law and to ensure the protection of civilians,"" said Michel Yao, the Acting Humanitarian Coordinator in the country. ""Attack against aid workers is a crime against humanity,"" he added."	UN officials tend to dislike violence against civilians	entailment
Sept 24 (Reuters) - Chipmaker Marvell Technology Group Ltd said it would cut jobs in its mobile platform business, resulting in a 17 percent reduction in its global workforce. The chipmaker said on Thursday it expects to take a charge of $100 million to $130 million related to the restructuring. The restructuring is currently expected to result in annualized operating savings of $170 million to $220 million, the company said. The company had a total of 7,163 employees at the end of January. (Reporting by Vidya L Nathan in Bengaluru; Editing by Sriraj Kalluvila)	Marvell Technology Group Ltd expects to have fewer than 7,163 employees soon.	entailment
Calendar » American Heart Association- Go Red For Women Luncheon February 27, 2015 from 10:30am - 1:00pm The Go Red For Women Luncheon is an event to raise funds for research and initiatives preventing heart disease and stroke. The luncheon is the American Heart Association's annual event to increase awareness of heart disease- the No. 1 cause of death for women- and inspire women to take charge of their health.	American Heart Association also fundraises for stroke research.	entailment
By 7 p.m., six of the Saudis left by the newly arrived private plane, flying on to Cairo and remaining overnight until heading back to Riyadh, according to Sabah and other media reports. By 11 p.m., another seven left by the other private plane, heading to Dubai, United Arab Emirates, similarly remaining there overnight and then flying on to Riyadh the next day, according to reports. Two others flew out commercially, Sabah said.	None of the Saudis flew to Sabah.	entailment
Folks will be able to use a free Greeley Evans Transit shuttle to get around the 39th annual Greeley Arts Picnic from 9 a.m. to 5 p.m. Saturday and 10 a.m. to 4 p.m. Sunday. The bus will stop at 15th Street and 15th Avenue to board, which is wheelchair accessible, according to a news release. Greeley Central High School's north and west parking lots are available for shuttle parking. Shuttles will then drop people off on 10th Avenue across from Lincoln Park. The shuttle will run from both stops about every 10 minutes.	If you want to ride the Greeley Evans Transit shuttle on Sunday and your arrive at 9 a.m., you will have to wait around for another hour before it starts running.	entailment
"Here we go! What's coming down the pike for information technology in 2017 and beyond? As part of our Tech Forecast 2017 survey of 196 senior technology professionals, we asked respondents to name their ""boldest, most out-on-a-limb prediction for IT in the next five years."" Read on for a selection of their responses (hint: bots, self-driving cars and 25-petabyte SSDs are all in the mix). And don't miss our free download: Complete results of the Tech Forecast survey."	IT will be around for atleast five years	entailment
A video showing a woman twerking on the grave of a dead man has gone viral after surfacing online. The video featured the deceased’s friend who in a bid to pay his departed friend his respect got a stripper to twerk for him. While the act was going on the friend kept up a steady flow of commentary saying “Is you watching Ni***? Is you watching bro?” the friend said, hitting the headstone. He continued: “She’s popping this sh** for you bro. We f****** love you.” Check out the viral video below Share with friends: Facebook Twitter Reddit Google LinkedIn Print Related Leave a comment	The video contains profanities.	entailment
The wind started to pick up as the first golfers went out to start Round 2 of the Masters on Friday. William McGirt, who started the day four strokes in back of Charley Hoffman, came out a little soft with a bogey on the first hole. But then birdies on two and four took him to four under, three shots back. Hoffman, who had an unbelievable 65 on Thursday, is scheduled to tee off until 10:01 a.m. EDT. Lee Westwood, at two under, is to go off at 10:12 a.m. There are eight golfers at one under.	eight golfers are tied	entailment
State Farm Insurance agent Tisha Fast will be sponsoring a Business Day at the Camp Clay Aqua Park this summer. Local businesses purchase the day for the Van Wert Community; access includes swimming, a floating playground, zipline, paddleboats, a half-acre beach, and the 3,600-square-foot splash pad. New features include water cannons at the splash pad and a log roll to accompany the zipline and aqua toys. To learn more, visit the YMCA website at www.vwymca.org. Shown are Fast and YMCA Camp Clay Director Kevin Morrison. (YMCA photo)	Tisha Fast is philantropic	entailment
× The big bounce, temperatures jump Wednesday and the warmest spell of 2017 is on the way BIG BOUNCE What a terrific Wednesday and how about the jump from the chill in the morning to the warmth in the afternoon! Temperatures jumped over 30-degrees since from early Wednesday morning AM. The biggest rise – in Bloomington (+35°) and Terre Haute (+32°) Dry air and the higher April sun angle add tot he warm up. Wednesday was the 4th straight day above normal.	Wednesday is looking to be a huge spike in temperature.	entailment
Six teenagers were stabbed following a fight which broke out in Turramurra on Sydney's Upper North Shore on Saturday night. A 34-year-old man was found with head and upper body injuries. Police have been told the man allegedly stabbed the teens during a fight. They were all treated at the scene by paramedics before being taken to hospitals across Sydney with non life-threatening injuries. Officers from Kuring-Gai Police Area Command established a crime scene and have launched an investigation into the incident.	The 34-year old man was wielding a bladed weapon	entailment
So far the biggest winners from the U-S Korea Trade Agreement is the state of Nebraska. In a recent report, the state's average ag exports to South Korea have increased by 52 percent since the agreement was put into place in 2014. The report shows beef and pork products were Nebraska's two largest agricultural exports to South Korea in 2016. Beef exports totaled $221 million and pork exports totaling $39 million. The full report can be found at the Nebraska Farm Bureau's website.	The agreement was put into place the year after 2013.	entailment
Islamabad Mainly hot and humid weather is expected in most part of the country while, rain-thunderstorm is expected at few places in Gilgit-Baltistan and Kashmir during the next 24 hours. Weak seasonal low lies over northwest Balochistan. A westerly wave is affecting northern parts of the country, an official of Met office told APP. During the 24 hours weather remained hot and humid in most parts of the country.—APP	Islamabad has a s	entailment
Indonesian tsunami volcano lost two-thirds of its height PANDEGLANG, Indonesia: The Indonesian volcano which caused a tsunami that killed more than 400 people last week lost more than two-thirds of its height following the eruption which triggered the killer waves. A section of Anak Krakatoa’s crater collapsed after an eruption and slid into the ocean, generating the tsunami last Saturday night.	The volcano lost more than 50% of its height.	entailment
Deputies do it now, but the Tulsa County Sheriff's Office thought getting another company to do the work could save money. Tulsa County will not be outsourcing armed security at the courthouse. Deputies do it now, but the Tulsa County Sheriff’s Office thought getting another company to do the work could save money. Praetoria Security got the job, but Monday that offer was rescinded. The sheriff's office said the District Attorney determined only the sheriff’s office can supply armed security at the courthouse.	The offer was rescinded on a weekday.	entailment
BOSTON, Nov 10 (Reuters) - Fidelity Investments was among the victims in a large hacking case unveiled by U.S. prosecutors on Tuesday, a person familiar with the matter said, speaking on condition of anonymity. Fidelity was referenced as a large Boston-based financial corporation in a court filing on Tuesday, the source said, as U.S. prosecutors unveiled criminal charges accusing three men of helping run a sprawling series of hacking and fraud schemes. (Reporting by Ross Kerber; Editing by Meredith Mazzilli)	prosecutors know the law	entailment
Germany's Eric Frenzel defends his nordic combined title at the Winter Olympics in Pyeongchang as Japan's Akito Watabe again took silver. WATCH MORE: 'What a moment' - Unified Korea score first Olympic hockey goal Watch the 2018 Winter Olympics live on BBC TV, Red Button, Connected TVs, BBC Sport website and mobile app. Available to UK users only.	The BBC is based out of the United Kingdom 	entailment
None Chicago Bears punter Adam Podlesh (8) takes a snap before punting the ball in the first half of an NFL football game against the St. Louis Rams in Chicago, on Sunday, Sept. 23, 2012. Podlesh was a standout player at Pittsford before going on to punt for the University of Maryland and in the NFL. Charles Rex Arbogast/AP	Podlesh was considered quite a talent in his early days playing football.	entailment
"""We had to make a decision between making payroll or paying the debt,"" Melton said Monday.""If we are unable to make payroll Oct. 19, we will definitely be able to make it next week Oct. 26 based on the nature of our sales taxes coming in at the end of the month. However we will have payroll the following week again on Nov. 2 and we are not sure we will be able to make that payroll because of the lack of revenue that is coming in."""	They are trying to figure out how to pay their debt and their employees all on time. 	entailment
Virginia Gov. Ralph Northam's Yearbook Page Shows Men In Blackface And KKK Robes The medical school yearbook page shows a photo of two men — one in blackface, and one in a Ku Klux Klan robe and hood. It isn't clear, if Northam is one of the men in the photo.	Ralph Northam may be one of the people in his medical school yearbook page photo that depicts someone in blackface and another in a Ku Klux Klan robe and hood.	entailment
1/12 Top 12 cities for exploring on foot Wandering around is by far the best way to get your bearings in a new city, not to mention the cheapest. The Lonely Planet has come up with a list of the world's best cities for walking - as voted by its readers. 12. Sydney A trip to Sydney is not complete without a stroll over the famous harbour bridge. It's also an easy walk to the opera house at circular quay, then up through the Royal Botanic Gardnens and into the heart of the shopping and business district. Getty Images	Sydney has cars in it	entailment
Video The Duke and Duchess of Cambridge were in Belgium to mark the centenary of the Battle of Passchendaele. This video has been optimised for mobile viewing on the BBC News app. The BBC News app is available from the Apple App Store for iPhone and Google Play Store for Android.	The BBC News App works on phones such as the Samsung Galaxy.	entailment
Murphy is out of the lineup against St. Louis on Tuesday. Murphy will receive a breather following three straight starts, including an 0-for-4 day during the series opener Monday. In his place, Jeff Mathis will catch Zack Greinke and bat eighth in the order.	Murphy is a catcher.	entailment
It took crews around 2 hours to extinguish a fire Sunday morning at a barn on Routt County Road 18, near Stage Coach Reservoir. According to Steamboat Deputy Fire Chief Chuck Cerasoli the back of the barn and the roof of an attached outbuilding were on fire when crews arrived on scene around 7:30. Firefighters were able to limit damage to the buildings, but a number of vehicles being stored in the barn sustained significant damage. The cause of the fire has yet to be determined. Related	The fire was put out around 9:30 in the morning. 	entailment
Calendar » Garden Preschool Community Open House August 25, 2012 from 10:00 AM - 2:00 PM SBCEO Garden Preschool is a private, non-profit, quality preschool/pre-K program in the downtown Santa Barbara area. Come for a visit, tour the school and play yard and meet the teachers. Come see what we have to offer.	SBCEO Garden Preschool contains a b	entailment
The hourly 50-period SMA broke through the slower 200-period SMA, adding credence to the recent bearish USD/NOK profile. From here, if USD/NOK spot rises closer to the level where the moving averages crossed, then sellers might see it as an opportunity to reenter at a better price. Furthermore, a convincing break through the 50-SMA signals a neutral tone, shifting positive above the 200-SMA.	People buying things is discussed	entailment
CLEVELAND (AP) _ These Ohio lotteries were drawn Monday: 07-08-20-31-35-36, Kicker: 5-3-9-9-0-6 (seven, eight, twenty, thirty-one, thirty-five, thirty-six; Kicker: five, three, nine, nine, zero, six) Estimated jackpot: $30 million 7-0-1 (seven, zero, one) 6-9-0 (six, nine, zero) 7-3-3-6 (seven, three, three, six) 2-1-0-1 (two, one, zero, one) 8-8-4-6-5 (eight, eight, four, six, five) 1-2-7-5-5 (one, two, seven, five, five) Estimated jackpot: $164 million 01-11-23-30-32 (one, eleven, twenty-three, thirty, thirty-two)	It is not the Indiana lottery.	entailment
Big Bear up a tree! On Old Vander Road East of Fayetteville. Home owner thinks fireworks scared him up the tree last night. pic.twitter.com/sCnbslYi8i — Greg Barnes (@GregBarnesABC11) July 3, 2017 Fireworks may be to blame for running a bear up a tree in Cumberland County.The bear was spotted on Old Vander Road, east of Fayetteville, up in his perch.It's still not for certain why he scurried up there, but the homeowner thinks fireworks may have startled him.At last check Monday evening, the big guy was still squatting on a big branch.	Cumberland County has a m	entailment
× Remembering Don Rickles with Dave Plier, Rich Koz, and Jim Roche Bill and Wendy are joined in the studio by our own Dave Plier, Rich Koz, who you know best as Svengoolie, and Jim Roche, Svengoolie’s Executive Producer. They reflect with Bill and Wendy on Don’s career and influence, the time they all got to spend with him, and much more. You can find Bill and Wendy on Twitter at @billwendyshow, and on Facebook at Bill Leff and Wendy Snyder. The Bill and Wendy Show airs Monday through Friday from ten a.m. to noon, then streaming from noon to one p.m.	The Bill and Wendy Show airs more than 3 days a week.	entailment
By Molly McGonigle From colorful hair to maxi-dresses galore, this summer has seen many trends taking over Hollywood. But right now, it's all about jumpsuits. From Khloe Kardashian to Heidi Klum, see how your favorite celebs are wearing and styling this one-piece trend. Khloe donned a hot pink, three-quarter-length jumpsuit for an afternoon of shopping in Beverly Hills.	A german supermodel is helping to popularize jumpsuits.	entailment
[India], Mar 21 (ANI): The Delhi Police on Wednesday filed charge sheet in connection with Bawana fire case, in which 17 people were charred to death in a massive blaze at a firecracker storage unit in Delhi's Bawana area. Earlier in January, a Delhi court sent the owners of the firecracker factory Manoj jain and Lalit Goyal, accused in the Bawana fire, to judicial custody. On January 20, 17 people were killed in a fire at a firecracker storage unit in Bawana area in New Delhi. Of the 17 killed, 10 were women. A man and woman were also injured. (ANI)	The fire affected many lives.	entailment
"A federal court in North Dakota has dismissed a lawsuit from Energy Transfer (ET +0.1% ) against Greenpeace that had accused the environmental group of racketeering and defamation with the aim of blocking the Dakota Access Pipeline. ET argued that the actions of Greenpeace and other activist groups and the resulting negative publicity against it caused billions of dollars in damages. ET said it was disappointed by the court order and that it planned to pursue its claims in the ""appropriate venue,"" without providing further details."	Greenpeace does not like the actions of ET	entailment
Email the author. Check out a view of the Falcon 9 launch Monday from our camera at the Kennedy Space Center press site about three miles from pad 39A. The rocket blasted off at 7:15 a.m. EDT (1115 GMT) with a top secret spy satellite for the National Reconnaissance Office. Monday's mission marked the 33rd flight of a Falcon 9 rocket, and the fourth time one of the vehicle's first stages has landed at Cape Canaveral. Follow Stephen Clark on Twitter: @StephenClark1.	Email the author. Check out a view of the Falcon 1+8 launch Monday from our camera at the Kennedy Space Center press site	entailment
Liverpool legend Carragher says the late goals were the only negative to the win over Man City That is the opinion of Sky Sports pundit and former Liverpool defender Jamie Carragher. Liverpool raced into a 4-1 lead in the second half of the clash at Anfield. However, goals from Bernardo Silva and Ilkay Gundogan reduced the deficit to one in stoppage time. Liverpool held on to inflict the first defeat on Manchester City in the Premier League this season.	A team was undefeated going into the game.	entailment
"BERLIN — German police say they're investigating the explosion of an ""apparent pyrotechnical device"" in a subway station in the northern port city of Hamburg. Hamburg police said on Twitter there was a ""small detonation"" on the platform of the Veddel subway station early Sunday evening. They say a pane of glass was damaged, but no injuries were reported. Police say they have information about a suspect and the investigation is continuing."	The bomber is on the loose.	entailment
MEXICO CITY Mexican President Felipe Calderon said on Tuesday, via his Twitter account, that there was no serious damage reported from a strong earthquake that hit near the country's western coast and shook buildings as far as the capital. Mexico City mayor Marcelo Ebrard said, also via his Twitter account, that he saw no damages as he surveyed the city from a helicopter. (Reporting By Mexico City Newsroom; editing by Jackie Frank)	Mayor tweeted about the earthquake before or after the President's tweet.	entailment
Unai Emery is under pressure at Arsenal, says Paul Mariner Arsenal are currently fifth in the Premier League table, 26 games into Emery’s first season as head coach. They are out of the FA Cup though and suffered a shock 1-0 defeat at BATE Borisov on Thursday in the first leg of their Europa League last-32 tie. Fans on social media have called for Emery to be sacked following the loss in Belarus. Mariner says the Spaniard has gone under the radar so far this season but says he is undoubtedly under pressure.	Fans on social media are giving their opinion on the match.	entailment
This undated photo distributed on Saturday, Sept. 16, 2017, by the North Korean government shows what was said to be the test launch of an intermediate range Hwasong-12 in North Korea. Independent journalists were not given access to cover the event depicted in this image distributed by the North Korean government. The content of this image is as provided and cannot be independently verified. Korea News Service via AP Korean Central News Agency	September 9, 2017 was on saturday. 	entailment
SUNBURY – A fire call Saturday led to the discovery of a meth lab in Sunbury. The Daily Item reports that crews were called to a home on North Twelfth Street for a possible structure fire just before 4 p.m. Saturday. That's when responders discovered what appeared to be materials used to make methamphetamine. It's reported that two individuals were evacuated from the area, but are not listed as suspects in the case. State Police responded to the scene to assist Sunbury Police and that investigation continues. (Sara Lauver)	Meth labs can be burned in fires.	entailment
By Trend Iranian Foreign Minister Mohammad Javad Zarif has arrived in Nakhchivan Autonomous Republic as part of his two-day visit to Azerbaijan. The visit takes place at the official invitation of the authorities of the Nakhchivan Republic. Zarif on Thursday attended the Mid-Term Ministerial Conference of the Non-Aligned Movement (NAM), titled “Promoting international peace and security for sustainable development” in Baku. --- Follow us on Twitter @AzerNewsAz	Zarif will only be visiting  for two days.	entailment
Chabot scored a goal and an assist in a 6-3 victory over the Rangers on Saturday. It was Chabot's first multi-point game since Dec. 1. Since that time, he posted three goals and seven points in 31 games, so scoring is clearly not the 21-year-old's strength. The defenseman doesn't stand out in one particular category, though, so he's not likely to be of much use to owners down the stretch.	Chabot was not the only scorer on his team in the victory over the Rangers.	entailment
Jefferson City's newest fire station is now on the fast track. Firefighters and city officials broke ground on the new east side Station 2. It will be built at Robinson Road and East McCarty. Retired Fire Chief Bob Rennick says it's a long time coming, as the old station was built nearly 50 years ago. The council approved the $2.9 million project. Station 2 will open early next year.	Jefferson City will have more than 1 fire station after Station 2 is built	entailment
