Sentiment	Text
Negative	Ben Carson got the last job on the list, why? Housing ,URBAN DEVELOPMENT, ALL BLACK MEN CAN DO THIS JOB. He will stay out of OUR WAY. :trumpet: SAID
Negative	If you condemn Trump’s pick of Steve Bannon, condemn Al Sharpton’s protest on Trump’s inauguration… 
Positive	How I feel after post #Thanksgiving headed to #BlackFriday looking for deals and doing my #cardio on... #Doyoueven?… 
Negative	They run the risk of medical negligence claims and disciplinary action. #homeopathy 
Negative	Retweeted CaptainsLog2016 (@CaptainsLog2016):Voter Suppression/FraudFake NewsRussian HackersFBI Witch... 
Negative	Imagine that? Bait and switch? Noooo lol. #maga #draintheswamp #potus45
Neutral	Cynthia Mckinney: AIPAC total control of US Gov't  
Positive	@___Muhammad_ALi Thankyou :')
Negative	@AdversAerialOne @reply Barack Obama said he wanted smooth transition,too bad.we as a ppl know Trump lost & had outside help
Neutral	Fracking found to cause quakes | Otago Daily Times Online News 
Neutral	Thoughts?... 
Positive	@thedavidcrosby it's what Bob Dylan sounds like at an amphitheater
Negative	@HillaryClinton - Al Gore concession 2 Bush 2 soon =d 8 yrs of US demise. U2 Hillary? #doesntaddup  #auditthevote #StillWithHer
Negative	Retweeted Ben Verlander (@Verly32):Are you kidding me? Most first place votes and doesn't win?... 
Positive	Here's a Leonard Cohen song that I like a lot 
Negative	@UM_Slack @walpoc @KDRocher Still have Obamacare, don't hear about death panels from you idiots ever
Positive	Steve Bannon is my Favorite Trump -Pick Yet, Breitbart is a threat to media:party_popper:coming from a fellow Jew, Trump will ha… 
Positive	Catching up on TWD #amc #TheWalkingDead
Positive	A.Relentless.Fucking.ExperienceThank you for the wild ride@evanrachelwood @jimmisimpson @AnthonyHopkins #Westworld
Neutral	#NBA #Cards 2015-16 Gold Standard Tim Duncan White Gold Patch #Card /25 San Antonio #Spurs 
Neutral	President-elect Donald Trump is spending Black Friday in South Florida, mulling over transition issues. 
Negative	"@bakedalaska We should be pushing back against Libs and Soros via protest instead of creating ""Trump Cups"""
Neutral	Phosphorus: highly flamable: A person who is affected by Phosphorus is energetic, outgoing, hyperactive, sociable,… 
Positive	Cristiano Ronaldo u won the heart <3 
Positive	i bought it for kh3 and persona 5 and ffxiv (tho i havent touched that in months
Negative	Look at the anti-Trump riots. Case closed. 
Neutral	"Media connected to #Palestinian #Hamas says ""60,000 settlers"" evacuated due 2 fires in #Israel; 4 them every1 n… "
Negative	forest fires in Israel, my advice to Israel, kick out all islamic people (bad hombres) once&for all: 
Positive	the amount of times I've said hallo and imitated Melania Trump tonight is at an all time high ahahaha
Negative	#BlackLivesMatter #potus #HillaryClinton You called for this. Getting what you chanted for. Disgraceful! You have i… 
Positive	@annehelen @GOPartyofTrump LOL no comparison Melania Trump is this rockstar!
Negative	The true parallel for #ItalyReferendum is 
Positive	#NowPlaying Leonard Cohen - Joan Of Arc (live) 
Neutral	Another one in the Tory election locker...
Neutral	Wikipedia: Call to action to update Homeopathy at Wikipedia - Sign the Petition! 
Negative	What hits Trump's EGO most? LOW RATINGS & NOT having an Audience on his Big Day (We can watch it… GburgDem 
Positive	I managed to find Nintendo in Google Earth VR. How many nerd points do I get? #alwayssunnyingoogleearthvr
Neutral	Los Hombres bad or good you have the right to shake up the system. #marcocalvani shows us how… 
Neutral	Tesla Motors Will Build All Its Cars With Self-Driving Hardware, Says Elon Musk | TIME 
Negative	@thehill It's hard to tell which are the stupid Americans & which are Putin's trolls. Birds of a feather. Fools together.
Negative	nothin' like a closet bigot to lead the dems. 
Positive	@VoucherAngels #Hatchimals  would melt his heart...and mine. X 
Negative	I've started using Marine Le Pen's twitter acct to figure out if I am happy or sad about EU political results (Italian referendum - oh no!)
Positive	We just tried @googleearth #VR in our @htcvive and loved everything about it!
Positive	Hell yeah Steak n Shake! #NationalFastFoodDay 
Positive	Fan opinion: right now I would absolutely take Justin Verlander as a Red Sox. Hands down. #RedSox
Neutral	:smiling_face_with_halo::red_heart:...just because it's Friday night and I'm home doing nothing 
Neutral	Here’s Some More Trump Transition News: Trump picks his deputy national-security adviser and White House counsel. 
Negative	Is @gicariana harassing @dianefrancis1 under guise of debate? If tables were turned Ariana would be on to @support… 
Neutral	@HillaryNo1sPres @GERI1324FAN @cdldad @LawyerRogelio Obama expanded Veterans Centers in rural areas & fully funded the Veterans Admin
Positive	@Reaganista @iowahawkblog @14ymedio  For anyone who asks if the embargo against Cuba was worth it. Show them this picture and laugh YES!!
Neutral	#Uber for #Millennials who want an orchestra in their living rooms @AnilArjunK 
Negative	"China censored Fatty Kim the Third (or ""Kim 3 the Fat = Jin San Pang"") because Best Korea complained about mean com… "
Negative	i just wonder how much @DrJillStein got paid and what position she was offered - may be a role in Clinton Foundatio… 
Negative	#KremlinTrolls don't know their head from their arse. 
Negative	@rizo444 @kevinalv3 he'll never win a ring. DAK WILL NEVER WIN A RING!! Lmaooo NOR WILL TONY ROMO WILL AS WELL!!
Positive	@ctrm045 @therealcornett @grammy620 @megynkelly Hmm... good to know.
Positive	which one would you prefer to listen to for a whole day? :smiling_face_with_heart-eyes::sign_of_the_horns_medium-light_skin_tone:; i could never choose #arianagrande #IntoYou #SideToSide #songs #Poll
Positive	Can't believe #3YearsofMidnightMemories ! @onedirection #onedirection #1D #directioner !!! 
Neutral	Day 5 Advent Gift Countdown - 'Gold Standard' 
Positive	"Bob Dylan's ""Sara"" - the kind of melody that stands up and slaps you in the face it's so beautiful"
Positive	@pedos4Muhammad LOL muh popular vote. :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:
Negative	1/ Today's #fascismfact is that eugenics, far from a Nazi German aberration, was first celebrated and practiced in the UK, US, and Canada.
Neutral	@JohnFugelsang You just complimented Kim Fatty the Third.
Positive	@tabbydragon Not yet. I have a few books on how to do that, but lately, I've used 3D printing instead. Will use wires if I use clay again.
Neutral	Marine Le Pen is the next France President, right? Tears :loudly_crying_face:
Neutral	#Galaxy Note 7 has a #blue #light filter option built into the display settings #android #mobile 
Positive	can we like get zac efron or justin bieber for next year's mmbc or something bc lol
Negative	This thread.  Short version = call them white nationalists.  Not alt-right or white supremacists. 
Negative	Y'all dumb mfs thought y'all was eating Thanksgiving food on Friday? Ain't black Friday after Thanksgiving every mf year!? How tf!!??
Negative	@BritishAwake             BBC Bullshit Baffles BrainsMarine Le Pen.. 
Negative	@therealdanelee he spoke against Tpp and is now speaking out against Dapl. You are just trolling with fake news now
Neutral	"@AndrewQuackson no wonder Kim Jong Un wrote a letter saying ""what about meeee?! I cannot be haxx0r?"""
Positive	Studs Terkel 1963 interview with Bob Dylan airing right now on @WFMTclassical, livestream at 
Neutral	#University of #California will refuse to assist federal #immigration agents seeking #students without legal status 
Negative	College professors are teaching our children  how great socialism is while parents pay expensive tuition.See the re… 
Negative	.@realDonaldTrump Why you considering that GUN-GRABBER Petraeus for anything????? 
Negative	#TheWalkingDead S7 is not very addictive.
Positive	Nice 10-k-run in the morning sun. #Jerusalem 
Neutral	@AskCapitalOne I'm an investor asking are you supporting the Dakota Access pipeline? #nodapl #bankexit #istandwithstandingrock
Negative	@jamescharles I'm sorry:confused_face:It's not their business-what kind of people are they to wish these things on you that are worse than animal testing
Positive	Good to meet civil society representatives from #Libya and brief about SE seat in UNSC 2017-18 and our feminist foreign policy.
Negative	When you make opponents publicly apologize....well #YoureAFacist #MangoMussolini #democrats #CalExit #HumanRights… 
Positive	Surprised by 
Negative	David Blaine shit on Netflix about to make me throw up.
Neutral	Bob Dylan unable to attend Nobel ceremony Dec. 10 due to 'other commitments.' I was able to get hold of his sched… 
Positive	NFL Latest Trade Rumors & Update: Trevor Siemian Unfazed With Potential Coming Of Tony Romo To Denver… 
Positive	YES! Watch a Tesla Model X P90D Drag Race a Model S P90D: 
Negative	@Sqwizzey @MMFlint Michael Moore is a bloated and crap-flinging monkey.  Trump won fairly.  Deal with it.
Neutral	Paris Geller, Emily Gilmore, Mrs. Kim, Miss Patty #GilmoreGirlsTop4
Negative	@ezlusztig @HouseOfMichele @greenhousenyt Is that what you call ignorant white trash these days, conservatives ?
Positive	"LEONARD COHEN - ""Take this waltz"" from #EnriqueMorente "
Positive	When your dream is to be the next kim Jong Un 
Negative	@DailyCaller @BeachDreamin291 It's UNIMPORTANT who won the popular vote. THAT'S NOT HOW WE ELECT OUR PRESIDENT IN THE UNITED STATES!
Positive	@elonmusk Tesla Network enrollee's eligible for relatively low cost insurance, since 'self-driving' cars are safer? Tesla to self-insure?
Negative	OBAMA, HILLARY, KERRYARMED, INCITED YEMEN CIVIL WARfor OIL $$$$$$$. period. :police_car_light::police_car_light: #YemenFiles :police_car_light::police_car_light:#YemenCrisis… 
Negative	WESTWORLD. HOLY FUCKING SHIT.
Positive	@verynetwork wowzers!! superb prize!! :smiling_face_with_heart-eyes: #hatchimals #WIN #BlackFriday
Neutral	[NFL Nation: Dallas Cowboys] - Dak Prescott too busy winning games to look over his shoulder at Tony Romo 
Neutral	WeWeDonald Trump says...We need to build a wall on the Mexican border.We need somebody who can make america great again.. TF
Positive	@jpus_br @ricky_martin Thank - you. You as well. Hugs and kisses to Matteo and Valentino dear heart. :face_blowing_a_kiss:
Neutral	The #ElectoralCollege should choose #HRC. If you agree, read & sign here: 
Negative	@Okupuna @CNN really? Illegal immigrants can't vote without proper identification and  a Voter Registration card. You aren't that smart
Negative	Why did I just watch Michael Moore defending #blacklivesmatter
Negative	Make no mistake: China is turning against Singapore given our government's outspoken stance on the TPP. Beijing... 
Negative	I haven't seen my best friend since the Cubs parade :frowning_face: and we only live less than 5 minutes away. :weary_face:
Neutral	How did I become THAT MOM. ISO #hatchimals
Positive	Excellent read to understand #MosulOffensive: On the ground in Mosul: why the worst-case scenarios are coming true 
Negative	@CNNPolitics Get rid of steve bannon the Racist. !
Positive	Emily, Paris, Kirk, and TJ.#GilmoreGirlsTop4 #SookietheInvisible5th #teamLOGAN (Yes, I know, an unpopular opinion)
Negative	President Elect? More like President Erect! A wall! On the Mexican American border!
Positive	Found my Bernie soulmate :person_gesturing_OK_light_skin_tone::bird: #NODAPL @ Dakota Access Pipeline Resistance Camp 
Positive	@petestavros @megynkelly Well, good for you!
Positive	Opening de Ricky Martin :musical_notes::collision:@laliespos :revolving_hearts: #LaliEnMexico 
Negative	@BillCrowson @ScottInSC America will move on when White Supremacists aren't running emboldened throughout the country.
Neutral	@IvyEnvy @CoreyFineran @SonRanto call it Un-con Cubs con 2k16
Negative	#Fires around #Jerusalem! #Terror Molotov cocktail  the cause. 20 aircraft  operating. Friends in #Nataf evacuated.… 
Negative	My Mom is living in a senior home facility has no sense of anything, and found a voter registration form today in her room. WTF....
Negative	(Global News):#Hatchimals craze causes frustration as demand outstrips supply : The.. 
Positive	@_TheStable ha ha... Think I've just come up with your #valentines social media campaign #lovestable - you need me on your marketing team!!
Positive	@KOPoole 
Positive	Excited to be joining the great John Carr at @Georgetown tomorrow at 6:30pm to discuss #Pilgrimage. Please join us! 
Negative	I'm making a PowerPoint on how vegetarianism isn't as unhealthy as people think
Negative	When all the poor whites who voted for Trump get their Medicaid taken from them I'ma be like ¯\_(ツ)_/¯
Positive	I never tire of learning of new #deepsea #creatures. Could #extraterrestrial oceans harbour such denizens? 
Neutral	I feel like Muhammad Ali..
Positive	@shannondrayer prediction: Walker will get the cy young next year and a golden glove for Marte. The trade curse must continue!
Positive	#Spurs #GoSpursGo 1997 SP Authentic #128 Tim Duncan RC Rookie BGS 9.5 
Negative	So Austria's new president is a proponent of divorce, gay marriage and smoking until it kills you? Still worried... 
Negative	@TomiLahren This bitch is retarded. Any intelligent person w/ a degree will tell you fossil fuels should be replace… 
Negative	Post-election Trump protest, NYC. 11/13/2016. #ICPwethepeople #flakphotoresistance #lensculturestreets @ICPhotog… 
Positive	Watch @BookViewNow's interviews with #NBAwards Finalists and other amazing authors from #MiamiBookFair2016 
Negative	@nike @UnderArmour get u2 buy thier product than ur parents get ripped off managemnt rigs it2drop n steal thier 401… 
Positive	Persona 5 Take your heart, Premium Edition is available for pre-order in the place where I usually get my games o(≧∇≦o)
Positive	I don't know if I should watch and listen to the music video of La mordidito or just stare at the angelic ricky Martin :smiling_face_with_heart-eyes: damn
Negative	@moosehickey @petestavros @megynkelly posting pictures of Ms. Kelly while making slanderous comments is pretty hateful. Name-calling.....
Negative	#UNDP The DPRK is not here. Such traitorous actions cannot be tolerated. Praise to Kim Jong-un. #SydMUN16
Positive	At the #NBAwards finalist reading, the poets were on :fire:. I've been reading these all day & they are brilliant. I can… 
Negative	@Nigel_Farage Always thought he was a patriot but now that DC/Clinton corruption is exposed he & GW don't seem so patriotic:confused_face:#draintheswamp
Positive	Day 2 of vegetarianism :green_apple::pear::strawberry::grapes::banana: going good :smiling_face_with_smiling_eyes::thumbs_up_light_skin_tone::victory_hand_light_skin_tone:
Positive	"Love listening to Popovich talk about Tim Duncan. ""He can do whatever he wants...every time we go to a meal, we raise a glass and toast him"""
Negative	Ethnic cleansing is morally wrong and illegal, no matter who is perpetrating it. #IsraeliApartheid #Palestine #BDS
Positive	@coachglove I think it takes tremendous teamwork to achieve military objectives. Gold standard. Thus the comparison.
Positive	I am a hipster muppet who enjoys authoritarian fracking . Support our troops.
Neutral	Guess I'm about to catch up on #ScreamQueens
Neutral	@JohnParshon @thepallister @dougf24 @JuddApatow POC, women, people on Medicare or close to it like myself
Negative	Remarkable. Expert who investigated death of Litvinenko 'killed himself' after trip to Russia 
Negative	I work a minimum wage job like twice a week and I don't go to school and that means I have no purpose in life :-)
Negative	@bpolitics Wow, Putin and Richard Spencer gets face palmed by Bloomberg. What’s the Russian and Nazi words for “dis”?
Neutral	SOMA in Google Earth VR. This place is growing 
Negative	US supporting aggression on #Yemen since 610 days Killed +10thousand  no One talk to stop it !! why is that ??NOw u… 
Neutral	Supercars of Cristiano Ronaldo - Top 10 
Negative	Labels are now meaningless. Conservatives are populists, but conservatism is opposite of populism. 
Neutral	@GardJohanna @CNN @ABC other news disagree 
Neutral	NHL: TarasenkoMLB: VerlanderNFL: Dez NBA: Not a sportSoccer: Not an American sport 
Positive	@HillaryClinton We love you Hillary..we haven't given up the fight, yet. That's if your still interested in the job :) #StillWithHer
Positive	Seven fascinating facts about #ScreamQueens 
Neutral	Gold Standard BCAA takes training to another level with 5g BCAAs, 250mg of patented Wellmune(R) and 200mg of... 
Negative	Obama... Evil, Stupid Or Both? Video - Bill Whittle RETWEET 
Negative	@immigrant4trump @Jim_Peoples_ you know she was bought and paid for a Pelosi wannabe
Neutral	'I am opposed to a multi-cultural France' - interview with Le Pen. 
Positive	"That ""educated virgin"" line from ""Sleepwalker"" by The Wallflowers is maybe my favorite written by either Bob OR Jakob Dylan."
Positive	"#FunHappyCalendar Tip for November 26th:""Make enough soup to share.""#Thanksgiving #LeftoversAvailable at:… "
Positive	@tonyfernandes God bless you & Pope Francis abundantly
Neutral	My girl throws shade like she's the starting pitcher for the Chicago Cubs
Negative	How is it that in 2016 & with the internet existing people still think vaccines are unsafe
Positive	Ashley Graham Just Shut Down The Runway In Her Lingerie At NYFW - See Killer Curves! 
Positive	Check out @ScissorSister2 great  #MannequinChallenge!  
Negative	It'll be a blue Christmas. #StillWithHer 
Positive	Watch Drake and Dave Chappelle Lose It Over a David Blaine Trick 
Positive	@CNN Excellent idea!  Maybe the electoral college will change the outcome of the election!  They have a constitutional right to do it!
Negative	Still relevant from this summer -- Trump and the art of bad publicity 
Positive	Well said #Muhammad Ali Jinnah 
Positive	Westworld is what #GoT will never be : Mastered and suitable for a Series format.
Neutral	Are you a Jay Cutler or a Tony Romo? 
Negative	These voting analysis of why #Trump won are RIDICULOUS..He LOST popular vote by 2M ...he LOST by 2M ...REPEAT..#Trump LOST by 2M votes
Positive	Keras 1.1.2: Deep Learning for Python 
Neutral	I'm so here for Vogue calling out designers for not dressing Ashley graham but how great would it be if they actually named those designers?
Negative	What's fascinating to me in reading up on all of this craziness is how open racism has never felt more... 
Negative	By design, algorithm & policy @Facebook entrenches echo chambers and amplifies misinformation. @zeynep for the NYT.… 
Positive	One direction will always be in my heart:kissing_face_with_smiling_eyes:#OneDirection #NiallHoran #LiamPayne #louis #harrystyles #ZaynMalik… 
Positive	I can't wait for NYE outfits and valentines lingerie lol :growing_heart::face_with_tongue::money_bag:
Positive	Fairmont beats Tipp 38-28! @GWOC #gobirds 
Neutral	Just prove it all wrong next year #cy young  
Negative	Although some vaccines protect our children, they still have potential to b very toxic.
Positive	Most Epic #MannequinChallenge EVER!!!!!!!!!!! 
Positive	@TheMovieChick06 how cute is this?#thewalkingdead 
Negative	@SouthernPundit Fidel must have died in prison, he was a criminal, as well as Nicolas Maduro in #Venezuela 
Negative	@SteezyEvelyn @TomiLahren she is one of the dumbest public figures ever. how do you think fossil fuels are the only energy source, like wtf
Negative	@OVOEdB0925 He ain't nowhere... As usual. He's the fragile Tony Romo of WR's.
Negative	North Carolina Republicans passed a “monster” voter-suppression law that required strict photo ID
Negative	@BrittPettibone in this Democrats & Republicans agree but bringing people like Gingrich & the like does not #DrainTheSwamp @GOP
Neutral	.@Microsoft — yes, Microsoft — joins the #Linux Foundation. #TechNews 
Positive	Chanel Por Homme :face_with_tears_of_joy: #ScreamQueens
Positive	@OnyxOblivion This year I’m already taken care of with World of FF, Persona 5 and FFXV. So much to play.
Positive	There is no one else that could or should sing #BeautyAndTheBeast We want @celinedion to sing it!
Negative	#TRUMP2016 Donald Trump #NotMyPresident  ball-chain #Hillary #BlackLivesMatter  #tcot #trump #tpp 
Negative	#TrumpTransitionTeam Promises HATE CRIMES Will Rise No Accountability for Neither Police or Nazi Vigilantes… 
Negative	@Mediaite And once again, whiny rich white liberals with their parent's credit cards are out money.And today was… 
Negative	Discover The Many Dangers Of Vaccines and Vaccination 
Negative	"Steve Bannon - its okay for straights to call lgbt ""gay, fag**t, and qu**r""... anyone who comes to me saying that gon catch these hands :oncoming_fist::collision: :oncoming_fist:"
Negative	The biggest problem in world is that media is in hands of bunch of low IQ morons who r making it dumber #Westworld  
Negative	Because we don't need cucks and snakes in Trump's administration. #draintheswamp #neverromney
Neutral	The original #MannequinChallenge 
Neutral	First CHAVEZ, Now FIDEL, Next...NICOLAS MADURO!!!
Negative	@AnimeDatingUSA But BECAUSE you spent hours on something you will be more likely to toss money at it. Death is a super harsh penalty.
Positive	Google Earth joins the VR revolution letting you wander the world in 3D: 
Positive	Well Zac Efron is gonna resize all your holes. @omggjackiee @Trashcollab I'm still giggling 
Negative	Saakashvili resigned his post in Odessa hoping his 'pal' The Don would back his ambition in Ukraine; Putin put The Don right on that one LOL
Neutral	@nocompulsoryvac @LotusOak not so sure.  
Negative	@MrKAK27 @docrocktex26 More massive voter suppression. The right will stop at nothing to disenfranchise black & brown voters
