Sentiment	Text
Neutral	"Media connected to #Palestinian #Hamas says ""60,000 settlers"" evacuated due 2 fires in #Israel; 4 them every1 n… "
Negative	2 students Haifa arrested: #crime #HAMAS. 3 helicoptersof #Greece #help, #Cyprus, #Italy, #Turkey, #Russia sent helicopters to help #Israel.
Negative	#Israel #Arson #Hamas - Terrorists have set Israel ablaze today.  #Hamas 
Neutral	@CodeAud @benshapiro Police found 2 arson devices in the forest near Haifa. Set by Arabs. Suspicious #Israel #Hamas #ISIS #CrushTheCaliphate
Negative	#Iran #Hamas Aspire to Destroy #Israel, give Kiss of Death to #Palestinian Authority @KhaledAbuToameh… 
Negative	#Hamas leader: #Trump may be a #Jew 
Negative	#BreakingNewslist of the terrorist groups at #Jordan meeting are..#Hamas #katabThawratAlAshreen #AlJaishAlislami #BaathParty & others
Neutral	Hhmmm. Some1 sent me this: #Hamas flag
Negative	#Hamas doesn't want PALS 2B free, prosperous; they use PALS as pawns against #Israel. All about antisemitism not Palestinians.
Neutral	The only thing standing between the palestine-israel peace agreement is #hamas
Negative	@minnman47 @PJMedia_com with direct ties to #Hamas & #MuslimBrotherhood the Dems are finished if they elect this terrorist
Neutral	The #Hamas Unity Deal 
Negative	@IAMovies when #Hamas is diverting 95% of resources (Concrete in this case) for homicidal tunnels into Israel, #Hint 
Neutral	"@IAMovies @TCoop6231 your ""source"" amounted to the Monarchy of Qatar, which owns the network and sponsors Terrorism by #Hamas"
Negative	"@IAMovies negative GDP, infrastructure destroyed by #Hamas does not constitute ""genocide"" "
Neutral	Retweeted Steven Schoenfeld (@SASchoenfeld):This is #Gaza under #Hamas rule - discrimination against... 
Negative	#Facebook gives #Hamas bandit the boot; Shuts their accounts down 
Negative	@Dwarfpoo @NAInfidels @TruthIwant2 why don't you accuse #Israel of aiding #Hamas 
Neutral	@Dwarfpoo @NAInfidels @FrankChanged @TruthIwant2 @PrisonPlanet read my articles. #Israel treats #Hamas daughter, people from #Gaza
Negative	.@segsig @nufascistleft @MickyRosenfeld BULLSHIT. There is no difference between #Fatah and #Hamas.
Negative	#RudyGiuliani took $millions from #Hamas #terror-sponsor #Qatar - this alone is disqualifying for #SecState 
Positive	@VoucherAngels #Hatchimals # Hatch these are like gold dust now :green_heart::green_heart:
Neutral	Getting out of hand! #christmas #hatchimals #kddesignsri #rhodeisland 
Negative	(Global News):#Hatchimals craze causes frustration as demand outstrips supply : The.. 
Neutral	Can any one help me find a Hatchimal? I need one for each of my kiddies! I can't find stock anywhere :anxious_face_with_sweat: #Hatchimals 
Positive	@VoucherAngels #Hatchimals  would melt his heart...and mine. X 
Neutral	This holiday season's hot toy are #Hatchimals, but they'll be tough to find on #BlackFriday. 
Neutral	POLL result:You voted for Cabbage Patch Kids & the Furby as your favourite Christmas toys . Looks like it will be… 
Positive	It's definitely Christmas season! My social media news feeds have been all about #Hatchimals since midnight! Good luck parents! :Christmas_tree:#santagot1
Neutral	@VoucherAngels #FreebieFriday #Hatchimals - need these to hatch today !
Neutral	@CNN This is how we got to Terminator 3: Rise of the Machines. #Hatchimals 
Positive	If you wanna have some seasonal fun & #teachecon #Hatchimals are today's Cabbage Patch Kids & Tickle Me Elmo Christ… 
Negative	Beware of scarcity marketing tactics for the holidays! Wanna save money? Just wait it out #teachecon #Hatchimals… 
Positive	Bearakeet, Burtle, Draggle, Penguala for sale! DM me before they are all gone! #Hatchimals #hatchimal #blackfriday… 
Positive	The excitement I got when we got 2 #Hatchimals was way too much for a 19 year old girl to get.
Positive	@jimmyfallon @jimmykimmel Get me on the show and let me sell you a #Hatchimals @TODAYshow picked up on our story 
Positive	#Hatchimals is one of the 14 coolest toys for the holiday season - #CNNMoney 
Neutral	How did I become THAT MOM. ISO #hatchimals
Negative	#Hatchimals @MikeZappaYou must be so proud of yourself.Way to prove Americans are so great.Legally robbing from the less fortunate children.
Positive	I SUCCESSFULLY CAPTURED THE HATCHIMAL! My journey has ended and I will go down in the history books. #hatchimals… 
Neutral	Two #Hatchimals For Sale... Shoot me a DM if you're serious about getting them... Serious inquiries only though... 
Negative	The fact that I have no kids and am still stressed out about #hatchimals :weary_face:
Neutral	Anyone else realised that getting a #Hatchimals is actually harder than copping #yeezyboost :flushed_face:
Positive	@verynetwork #hatchimals #BlackFriday Count me in! :four_leaf_clover:
Positive	#BlackFriday so glad to see all the discouncted #Furbys #Hatchimals.
Negative	Cannot believe people are attempting to sell a $50 toy for 6x the price! Unbelievable! #Hatchimals #peoplesuck
Positive	@verynetwork Awesome! #Hatchimals #BlackFriday :thumbs_up:
Positive	@verynetwork #hatchimals #BlackFriday My daughter would love this :face_with_tears_of_joy:
Positive	This year's hottest toy: #Hatchimals 
Positive	@verynetwork wowzers!! superb prize!! :smiling_face_with_heart-eyes: #hatchimals #WIN #BlackFriday
Neutral	@verynetwork I keep just missing out on one these every time @HotUKDeals posts a link :disappointed_face:#win #Hatchimals 
Positive	The excitement felt when the #hatchimals hatches. Rosie's face was #priceless .  #hatchybirthday… 
Positive	@verynetwork my son would be over the moon with this #hatchimals #BlackFriday
Neutral	#Syria: Regime+#Hezbollah broke the ceasefire agreement for #AlTall area in north of #Damascus, and launched a large-scale offensive.
Negative	#Israel accuses #Iran of using commercial airline to transport weapons to #HezbollahTV7 Israel News 
Positive	The latest Journal of #SOCMINT! 
Negative	Those who have supported the Assad regime. And shut their eyes on their crimes.#Khamenei #Assad #Hezbollah 
Neutral	#Hezbollah Martyr Mohammad Shalhoub from Sour Martyred after sustaining injuries in 1070 #Aleppo a month ago 
Neutral	#Assad #Russia Airforce Attack #Turk soldiers in Support of #Hezbollah #IRGC led Global #Shia Army Funded By #Iran oil  #Khamenei Spirit Ldr
Negative	#Khamenei #Hezbollah #IRGC able to Get #Shia all in Harmony to Assault #Sunni people & Lands, a type of #Devil Warlord
Neutral	#YPG #SDF allying with #Hezbollah terrorists & #ASSad against #NATO ally #Turkey, Goodjob Obama, Turkey should resp… 
Negative	To big to ... be a state sponsor of terrorism? #Russia officially meets with ally #Hezbollah for first time 
Neutral	[Video] United Kingdom: Shia #Hezbollah militia march in military uniform in a... 
Negative	@scakirs #Assad regime, #Hezbollah and #YPG will capture #Al_Bab and more, if #Turkey doesn't act now.
Neutral	#Russia, #Hezbollah begin “official” military coordination in #Syria at the behest of Moscow, according to a report… 
Neutral	#Hezbollah: A declassified interactive report by the #Israel Defense Forces 
Negative	#Hezbollah terrorists using civilians as human shields, 1 in 3 homes in south Lebanon villages are military assets 
Neutral	#Hezbollah group’s forces had seized a road to the NW of #Mosul linking the city to Syria’s #Raqqah 
Negative	#Hezbollah Martyr Qasim Shamkha Martyred on 03/11/2016 in West #Aleppo telling his brothers he wants to sleep. 
Neutral	#Hezbollah parades around in #US personnel carriers but where did they get them? 
Negative	#Hezbollah Soldier: #Israel is burning 
Neutral	@AngelaKorras I wonder how long will #Trump get along well w/ #Putin. The latter is a dear friend of Dear Leader… 
Positive	#RealNews: It’s now official; #Russia & #Hezbollah are now coordinating operations in #Syria :left_arrow: Great news :smiling_face_with_sunglasses:
Negative	Israel: Iran is Smuggling Missile Technology to #Hezbollah Inside Commercial Flights 
Neutral	#Russia-#Hezbollah contacts might also signal #Syria|n army struggles to make decent progress on the ground.
Neutral	#Syria #Hezbollah 
Negative	Racist followers too.. Someone tell'm that #Hezbollah (muslim resistance group) is fighting #whitehelmets in #Aleppo 
Negative	Dutch writers stage walkout over #Hezbollah contract 
Positive	Millions of Muslims take part in mass anti #ISIS march 
Neutral	@Lloyd_Ash @PrisonPlanet @DrJillStein Was it the @DNC, @ClintonFdn, Saudi Arabia, #ISIS or @georgesoros who gave @DrJillStein the monies?
Negative	13 Egyptian soldiers killed in an attack carried out by #ISIS on(AL-gas) ambush southwest of El Arish #Sinai 
Neutral	#ISIS Social Media Expert who urged US Muslims to behead @PamelaGeller killed by drone. 
Neutral	#Saddam's #Cousin #Arrested In #ISIS Attack on #Kirkuk --> 
Negative	ISIS' Japanese hostages fake video BUSTED!! 
Neutral	#ISIS claims Iraq car-bombing, at least 73 killed. 
Neutral	IMAGE: As ISIS takes your life Obama is on the links. 
Neutral	#BREAKING: #ISIS claims responsibility for attack on checkpoint that killed 12 soldiers in #Egypt's Sinai peninsula.
Neutral	#BrettMcGurk : #ISIS Was Released from#CampBucca By #HillaryClintonin Concert w #Saudi's… 
Negative	@lisa_alba Lets feed the #ISIS #invaders until they burst and the OLD and POOR die by malnutrition ??
Neutral	"The ""We Created WhatWe Are Fighting Right Now.""As True for #ISISas it is for #AlQaeda"
Neutral	One by One, #ISIS Social Media Experts Are Killed as Result of F.B.I. Program 
Neutral	#Isis commanders in #Syria or #Iraq directed foiled plot to launch pre-Christmas attacks on Paris landmarks 
Negative	#Turkey-EU: forced marriage. #Erdogan continues to abuse the #EU by both supporting #ISIS and creating one #refugeecrisis after another.
Neutral	U2 &#039;Dragonlady&#039; pilots spy on ISIS - 
Neutral	"#Raqqa : Injury, ""Mohammad Ali AlTaqqh"" and his son ""Ali"" Daesh #isis shot while crossing to the north of the city of Raqqa Ein Issa"
Negative	When a mother in-law justofies her son to fucking 20 women, but won't let him marry the woman he loves who fucked 2… 
Negative	ISIL part of psy op to feed, breed Islamophobia 
Neutral	How look is it?
Negative	@theLemniscat whoever is doing these atrocities for #ISIS will NOT escape justice! @Jmart4info
Negative	#Injustice for #Children of the #Caliphate and those displaced by #ISIS left stateless. #humanrights #citizenship  
Neutral	"4th day of ""Fighting the Flames"": #Jerusalem Region Deputy Director Felix Lotan reporting from 1 of the scenes:… "
Positive	Another lovely day in #Jerusalem :sun_with_face::sun_with_face::sun_with_face: 
Neutral	On sale now for $980 #ArtDealer #Painting #Jerusalem #Israel Capital of Israel 
Negative	Tampa Teen Beaten by Israelis to Speak with UN 
Neutral	#Sionisme #jesuschrist #Jerusalem #jerusalempost #NewYork #bible #BibleStudy Rudy Boxman made this painting SION or… 
Positive	Nice 10-k-run in the morning sun. #Jerusalem 
Neutral	It's crowded at the market. It’s Sunday and life in this religious town is back on track after Sabbath.… 
Positive	#Greece #Israel #Islam #Jerusalem Greek pilot: We are your friends, and we are always here for you. 
Positive	Doesn't the tree look like a lung? We breathe their air all the time! #tree #britishpilgrimage #jerusalem 
Neutral	@WallaNews reports brush fire approaching community of Maaleh HaChamisha in the #Jerusalem Hills.
Neutral	@WallaNews reports wedding guests evacuated during celebration in #Jerusalem Hills.
Positive	Wishing you a great #Shabbat & relaxed #weekend from #Jerusalem! #weekendvibes #shabbatshalom #FinallyFree #fun… 
Neutral	.@OliverElner Muslims have a special decoding ring that shows #Jerusalem in the Koran :face_with_rolling_eyes:@Joyce_Karam @HillelNeuer @Michaelhorowicz #israel
Positive	#jerusalem is now trending in Malaysia
Negative	#Holocaust Survivor: UN’s #Jewish ‘Temple Denial Is Worse Than Holocaust Denial’ 
Neutral	The Equestrian Order of the Holy Sepulchre of #Jerusalem, #Templar predecessor? 
Positive	I just started to speak in the train to a #Roma lady who just was in #Jerusalem and I remembered the greatest... 
Negative	Many fires are now being reported as suspected arson attacks. Today IAF assisted the police in apprehending arson s… 
Neutral	Nataf, less than 10 km from #Jerusalem/#ElQuds 
Positive	#shabbatshalom #Israel #Jerusalem s=SHABBAT SHALOM TO ALL, HASHEM'S BLESSINGS!!! 
Neutral	In a thankful gesture for lending a hand in putting out fire, #Israel shot a #Palestinian @ a #Jerusalem checkpoint
Neutral	#BREAKING: #Israel forces kill suspected Palestinian attacker in #Jerusalem according to police. #Palestine
Negative	#Israel - Palestinian terrorist shot dead by #IDF soldiers moments after attempted stabbing attack in Shuafat area in East #Jerusalem.
Neutral	#VIDEO Of the  Israel occupation check point at Anata village east of #Jerusalem were the occupation forces shot... 
Neutral	Fire broke out in one of the #Palestinian shops in Occupied #Jerusalem 
Positive	One splendid view inspires 15 painters of #Jerusalem 
Negative	#Fires around #Jerusalem! #Terror Molotov cocktail  the cause. 20 aircraft  operating. Friends in #Nataf evacuated.… 
Neutral	Top Reasons Why You Should Visit Israel - Voyager 
Neutral	21/May/15 False Flag Weekly News 
Positive	Good to meet civil society representatives from #Libya and brief about SE seat in UNSC 2017-18 and our feminist foreign policy.
Neutral	Extensive strikes by @AFRICOM in Sirte #Libya in recent days. Tiny # of ISIS militants holding out remarkably vs local fighters/US air power
Negative	AQ operative & BRSC leader Mohamed Aldresi (Al-Nus) calls on Jihadist from 10 states to join fight against Libyan a… 
Neutral	. @JaeStC @Beau_fish #Gaddafi killed people, but was a benevolent dictator for most people in #Libya. Same with Saddam in #Iraq.
Neutral	Remember , during the Bush years, causing or being involved in another countries Civil war was unthinkable.… 
Negative	PROOF HILLARY WILL CHOOSE DEATH OVER PEACE 
Positive	#UK says 2011 #Libya intervention ‘saved civilian lives’ 
Neutral	Yup. All the folks in #Iraq, #Syria, #Libya, #Yemen, #Afghanistan, NW #Pakistan, #Somalia, #Donbas & #StandingRock… 
Negative	@BBCWorld While French terrorists are busy in spreading terrorism across the world from #Libya to #Chad and other parts of the world.
Neutral	UK Govt reject criticism on Libya saying its involvement saved lives-... wishing UK to enjoy post Gadafi Libya fate. #UK #libya
Neutral	#Libya Under Pressure to Devalue Its Currency
Negative	POTUS You mean all the ones you created through your illegal wars & genocide across the Middle East?#Libya #Syria #Yemen
Negative	@aravosis For past 8 years under Obama we had no peace but more major conflicts and Obama led the destruction of #Libya. And #Yemen.
Positive	2day we celebrate #Libya’n #women working 4 peace, protection women & girls & supporting #ViolenceAgainstWomen surv… 
Neutral	UK govt failing to learn Libya lessons, say MPs
Negative	#UK gov rejects critics of #Libya attacks 'protecting civilians' 9700 #NATO sorties 7700 bombs dropped but only 60-… 
Positive	@realdonaldtrump ABSOLUTEY nailed it about #LIBYA 
Neutral	Follow @HebaShibani for #HammametConf coverage ! @HammametConf @lyBritish #Libya
Neutral	Does anyone have documented figures of Benghazi families/residents displaced in #Misrata & #Tripoli? point me in the right direction? #Libya
Negative	'Erroneous' intervention, report blames #UK gov' for 'mayhem' left in #Libya 
Neutral	UK government rejects MPs' criticism of #Libya intervention 
Positive	Tripoli's Al-Ahli wins title of 2016 Libyan Football League
Negative	@Aarias1840 @cat_1012000 @Military4Trump @Independent result of libs experiments: millions dead, countries destroye… 
Neutral	"UN-SRSG,Martin Kobler, calls on Libyan parties to implement #Ashkirat's agreement and get out of the ""political dep… "
Neutral	The fourth African-Arab summit in #Equatorial_Guinea emphasizes on its support of the proposed Government in #Libya… 
Positive	OK it's Friday, time for some end of the week fun. Try the #mannequinchallenge & strike a pose… 
Neutral	Here is Pakistan's fast bowler @M_IrfanOfficial attempting for #MannequinChallenge on sidelines of his training ses… 
Positive	We had a little fun and enlisted our supporters to be a part of the #MannequinChallenge. Learn more at… 
Positive	Only our family #mannequinchallenge #thanksgiving #familygoals 
Neutral	When Dabber is in charge... #MeccaChallenge #MannequinChallenge:fire: 
Positive	Sure, it looks like I'm sleeping off that Thanksgiving Day meal, but I'm actually taking the #MannequinChallenge ri… 
Neutral	Mark Wahlberg and Will Ferrell lowkey invented the #MannequinChallenge 
Positive	Thanks to @nick146143 Deborah, @FlavaFeast for looking after our @compassgroupuk #CompassGrads graduation today… 
Positive	:face_with_tears_of_joy::face_with_tears_of_joy:WHEN I SAY WE TRIED 20 DAM TIMES!! STANDING STILL IS HARD AF:face_with_tears_of_joy::face_with_tears_of_joy: #mannequinchallenge… 
Neutral	Marvel toys made the Mannequinchallenge (#MannequinChallenge): 
Positive	Christmas Charity Benefit :evergreen_tree: #MannequinChallenge @ Lukas Nursery & Butterfly Encounter 
Positive	The utterly brilliant @langfordrussell #Bromley do the #MannequinChallenge, all for @BBCCiN 
Positive	Havin' a bit of fun today! Do you love these guys too!? Have a great weekend! 
Positive	I really want to try the #MannequinChallenge
Positive	My families  #Thanksgiving  #MannequinChallenge :smiling_face::smiling_face_with_smiling_eyes::face_with_tears_of_joy::grinning_face_with_sweat::smiling_face_with_halo::smiling_face_with_heart-eyes::squinting_face_with_tongue::smiling_face_with_sunglasses::see-no-evil_monkey::red_heart::woman_dancing::OK_hand::raised_fist::thumbs_up: Lol I love my family!!… 
Neutral	The original #MannequinChallenge 
Negative	I seen a lady on an oxygen tank doing the #mannequinchallenge, she was shaking so bad....po' baby
Positive	Powerful. #MannequinChallenge 
Negative	FAM MY NIGGA WAS BURNT @BokiiitaDolla @chefboyjav @shortttstackk @whoissancocho @52_legna #MannequinChallenge 
Positive	Our MBFM #MannequinChallenge to have a little fun for the holidays!
Positive	Our own #MannequinChallenge @Sherbatov_MMA @YoniSherbatov @F4PTM thank you Studio Halloum .FULL VERSION ON FACEBO… 
Neutral	@raesremmurd #mannequinchallenge #blackbeatles With #squad preetisingh30 sanketttt25 bobby__ks… 
Positive	This was very very good:face_with_tears_of_joy::OK_hand_light_skin_tone:#MannequinChallenge #cadavermovie :movie_camera:@shaymitch @sammyinlala :sparkling_heart: 
Positive	Most Epic #MannequinChallenge EVER!!!!!!!!!!! 
Neutral	CCS completed a mannequin challenge today! Take a look at our unique poses #EducateTogether #MannequinChallenge #CCS
Positive	@TheRealElvira @AMCTalkingDead #MannequinChallengeNailed it !
Positive	#newhavenbulldogs #mannequinchallenge have a little fun after the hard work… 
Positive	Check out @ScissorSister2 great  #MannequinChallenge!  
Neutral	Got deleted :unamused_face: but yea we did it :face_with_tears_of_joy: #mannequinchallenge 
